,歆凱分組,代號,名稱,new_industry,minor_industry,industry_title
0,0.0,1101,台泥,水泥製造,,水泥製造類
1,0.0,1102,亞泥,水泥製造,,水泥製造類
2,1.0,1210,大成,油脂飼料,,油脂飼料類
3,1.0,1215,卜蜂,油脂飼料,,油脂飼料類
4,1.0,1227,佳格,其他食品,,其他食品類
5,1.0,1702,南僑,油脂飼料,,油脂飼料類
6,2.0,1310,台苯,石化,泛用塑膠,石化:泛用塑膠類
7,2.0,1314,中石化,石化,化纖,石化:化纖類
8,2.0,1718,中纖,石化,化纖,石化:化纖類
9,2.0,2515,中工,營造,,營造類
10,2.0,4306,炎洲,石化,膠帶,石化:膠帶類
11,3.0,1476,儒鴻,成衣,成衣製造,成衣:成衣製造類
12,3.0,1477,聚陽,成衣,成衣製造,成衣:成衣製造類
13,3.0,9910,豐泰,鞋及旅行箱,,鞋及旅行箱類
14,4.0,1513,中興電,電機製品,電機,電機製品:電機類
15,4.0,1514,亞力,電機製品,電機,電機製品:電機類
16,4.0,1519,華城,電機製品,電機,電機製品:電機類
17,5.0,1319,東陽,汽車組件,,汽車組件類
18,5.0,1522,堤維西,汽車組件,,汽車組件類
19,5.0,1524,耿鼎,汽車組件,,汽車組件類
20,5.0,1568,倉佑,汽車組件,,汽車組件類
21,5.0,6605,帝寶,汽車組件,,汽車組件類
22,6.0,1517,利奇,自行車組件,,自行車組件類
23,6.0,1526,日馳,自行車組件,,自行車組件類
24,6.0,3038,全台,光電/ IO,LCD-其他,光電/ IO:LCD-其他類
25,7.0,1590,亞德客-KY,機械業,模具零件,機械業:模具零件類
26,7.0,2049,上銀,機械業,模具零件,機械業:模具零件類
27,8.0,1701,中化,藥,西藥,藥:西藥類
28,8.0,1789,神隆,藥,西藥,藥:西藥類
29,8.0,4167,松瑞藥,藥,西藥,藥:西藥類
30,9.0,1217,愛之味,罐頭加工,,罐頭加工類
31,9.0,1714,和桐,清潔劑,,清潔劑類
32,10.0,1711,永光,染料及顏料,,染料及顏料類
33,10.0,1721,三晃,樹脂,,樹脂類
34,10.0,1727,中華化,其他化學,,其他化學類
35,11.0,1773,勝一,其他化學,,其他化學類
36,11.0,4755,三福化,其他化學,,其他化學類
37,12.0,1806,冠軍,玻璃陶瓷,,玻璃陶瓷類
38,12.0,1809,中釉,玻璃陶瓷,,玻璃陶瓷類
39,12.0,1810,和成,玻璃陶瓷,,玻璃陶瓷類
40,12.0,2913,農林,貿易業,,貿易業類
41,13.0,1903,士紙,造紙,,造紙類
42,13.0,1904,正隆,造紙,,造紙類
43,13.0,1905,華紙,紙漿,,紙漿類
44,13.0,1907,永豐餘,造紙,,造紙類
45,13.0,1909,榮成,造紙,,造紙類
46,14.0,2105,正新,輪胎,,輪胎類
47,14.0,2106,建大,輪胎,,輪胎類
48,14.0,2505,國揚,建設,,建設類
49,15.0,2108,南帝,橡膠原料,,橡膠原料類
50,15.0,6582,申豐,橡膠原料,,橡膠原料類
51,16.0,2201,裕隆,汽車製造,,汽車製造類
52,16.0,2204,中華,汽車製造,,汽車製造類
53,17.0,2323,中環,光電/ IO,光碟,光電/ IO:光碟類
54,17.0,2349,錸德,光電/ IO,光碟,光電/ IO:光碟類
55,17.0,2359,所羅門,資訊通路,零組件代理,資訊通路:零組件代理類
56,17.0,2461,光群雷,石化,塑膠加工,石化:塑膠加工類
57,18.0,2317,鴻海,PC系統,PC,PC系統:PC類
58,18.0,2328,廣宇,電子零組件,連接器,電子零組件:連接器類
59,18.0,2354,鴻準,電子零組件,機殼,電子零組件:機殼類
60,18.0,3149,正達,光電/ IO,觸控面板,光電/ IO:觸控面板類
61,18.0,5243,乙盛-KY,電子零組件,沖壓零組件,電子零組件:沖壓零組件類
62,19.0,2308,台達電,電子零組件,電源供應器,電子零組件:電源供應器類
63,19.0,2330,台積電,半導體,晶圓代工,半導體:晶圓代工類
64,19.0,2454,聯發科,半導體,IC設計,半導體:IC設計類
65,19.0,3711,日月光投控,半導體,IC封測,半導體:IC封測類
66,19.0,5347,世界,半導體,晶圓代工,半導體:晶圓代工類
67,20.0,2331,精英,主機板,主機板,主機板:主機板類
68,20.0,2371,大同,電機製品,電機,電機製品:電機類
69,21.0,2337,旺宏,半導體,記憶體製造,半導體:記憶體製造類
70,21.0,2344,華邦電,半導體,記憶體製造,半導體:記憶體製造類
71,21.0,2408,南亞科,半導體,記憶體製造,半導體:記憶體製造類
72,21.0,8110,華東,半導體,IC封測,半導體:IC封測類
73,22.0,2376,技嘉,主機板,主機板,主機板:主機板類
74,22.0,2377,微星,主機板,主機板,主機板:主機板類
75,23.0,2379,瑞昱,半導體,IC設計,半導體:IC設計類
76,23.0,3034,聯詠,半導體,IC設計,半導體:IC設計類
77,23.0,4966,譜瑞-KY,半導體,IC設計,半導體:IC設計類
78,24.0,2399,映泰,主機板,主機板,主機板:主機板類
79,24.0,2425,承啟,主機板,繪圖卡,主機板:繪圖卡類
80,24.0,2465,麗臺,主機板,繪圖卡,主機板:繪圖卡類
81,24.0,5386,青雲,主機板,繪圖卡,主機板:繪圖卡類
82,24.0,6150,撼訊,主機板,繪圖卡,主機板:繪圖卡類
83,25.0,1533,車王電,汽車組件,,汽車組件類
84,25.0,2415,錩新,消費性電子,音響設備,消費性電子:音響設備類
85,25.0,2497,怡利電,汽車組件,,汽車組件類
86,25.0,3552,同致,汽車組件,,汽車組件類
87,25.0,4939,亞電,主機板,FCCL,主機板:FCCL類
88,26.0,2457,飛宏,電子零組件,電源供應器,電子零組件:電源供應器類
89,26.0,3058,立德,電子零組件,電源供應器,電子零組件:電源供應器類
90,26.0,6129,普誠,半導體,IC設計,半導體:IC設計類
91,27.0,2388,威盛,半導體,IC設計,半導體:IC設計類
92,27.0,2498,宏達電,通訊設備,網路服務,通訊設備:網路服務類
93,27.0,3508,位速,電子零組件,機殼,電子零組件:機殼類
94,27.0,6118,建達,資訊通路,3C通路,資訊通路:3C通路類
95,28.0,2603,長榮,海運,貨櫃輪,海運:貨櫃輪類
96,28.0,2609,陽明,海運,貨櫃輪,海運:貨櫃輪類
97,28.0,2615,萬海,海運,貨櫃輪,海運:貨櫃輪類
98,28.0,2636,台驊投控,貨運倉儲業,,貨運倉儲業類
99,28.0,5603,陸海,貨運倉儲業,,貨運倉儲業類
100,29.0,2610,華航,空運業,,空運業類
101,29.0,2618,長榮航,空運業,,空運業類
102,30.0,2608,嘉里大榮,貨運倉儲業,,貨運倉儲業類
103,30.0,2642,宅配通,貨運倉儲業,,貨運倉儲業類
104,31.0,2723,美食-KY,餐飲飯店,餐飲業,餐飲飯店:餐飲業類
105,31.0,2727,王品,餐飲飯店,餐飲業,餐飲飯店:餐飲業類
106,31.0,2732,六角,餐飲飯店,餐飲業,餐飲飯店:餐飲業類
107,32.0,2412,中華電,通訊設備,電信業,通訊設備:電信業類
108,32.0,3045,台灣大,通訊設備,電信業,通訊設備:電信業類
109,32.0,4904,遠傳,通訊設備,電信業,通訊設備:電信業類
110,33.0,3048,益登,資訊通路,零組件代理,資訊通路:零組件代理類
111,33.0,3209,全科,資訊通路,零組件代理,資訊通路:零組件代理類
112,34.0,2495,普安,光電/ IO,硬碟磁碟,光電/ IO:硬碟磁碟類
113,34.0,3060,銘異,光電/ IO,硬碟磁碟,光電/ IO:硬碟磁碟類
114,35.0,3083,網龍,軟體服務,應用軟體,軟體服務:應用軟體類
115,35.0,3546,宇峻,軟體服務,應用軟體,軟體服務:應用軟體類
116,35.0,5478,智冠,軟體服務,應用軟體,軟體服務:應用軟體類
117,35.0,6180,橘子,軟體服務,應用軟體,軟體服務:應用軟體類
118,36.0,3141,晶宏,半導體,IC設計,半導體:IC設計類
119,36.0,3169,亞信,半導體,IC設計,半導體:IC設計類
120,36.0,6143,振曜,光電/ IO,PC週邊,光電/ IO:PC週邊類
121,36.0,6411,晶焱,半導體,IC設計,半導體:IC設計類
122,36.0,8069,元太,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
123,37.0,3234,光環,通訊設備,光纖通訊,通訊設備:光纖通訊類
124,37.0,4908,前鼎,通訊設備,光纖通訊,通訊設備:光纖通訊類
125,37.0,4979,華星光,通訊設備,光纖通訊,通訊設備:光纖通訊類
126,38.0,2409,友達,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
127,38.0,3481,群創,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
128,38.0,6116,彩晶,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
129,39.0,3545,敦泰,半導體,IC設計,半導體:IC設計類
130,39.0,4961,天鈺,半導體,IC設計,半導體:IC設計類
131,39.0,6203,海韻電,電子零組件,電源供應器,電子零組件:電源供應器類
132,39.0,8016,矽創,半導體,IC設計,半導體:IC設計類
133,40.0,2417,圓剛,主機板,電視卡,主機板:電視卡類
134,40.0,3669,圓展,光電/ IO,其他光學,光電/ IO:其他光學類
135,41.0,1589,永冠-KY,機械業,模具零件,機械業:模具零件類
136,41.0,3708,上緯投控,樹脂,,樹脂類
137,41.0,9958,世紀鋼,金屬基本,鋼筋,金屬基本:鋼筋類
138,42.0,4114,健喬,藥,西藥,藥:西藥類
139,42.0,6461,益得,藥,西藥,藥:西藥類
140,43.0,4106,雃博,醫療耗材,,醫療耗材類
141,43.0,4121,優盛,藥局,,藥局類
142,44.0,4128,中天,藥,西藥,藥:西藥類
143,44.0,4743,合一,藥,西藥,藥:西藥類
144,45.0,1760,寶齡富錦,藥,西藥,藥:西藥類
145,45.0,4133,亞諾法,醫療耗材,,醫療耗材類
146,45.0,4171,瑞基,醫療耗材,,醫療耗材類
147,45.0,4736,泰博,醫療耗材,,醫療耗材類
148,45.0,6598,ABC-KY,醫療耗材,,醫療耗材類
149,46.0,4147,中裕,藥,西藥,藥:西藥類
150,46.0,4174,浩鼎,藥,西藥,藥:西藥類
151,47.0,3625,西勝,電子零組件,3C二次電池,電子零組件:3C二次電池類
152,47.0,4721,美琪瑪,其他化學,,其他化學類
153,47.0,4739,康普,其他化學,,其他化學類
154,47.0,6509,聚和,其他化學,,其他化學類
155,48.0,4934,太極,光電/ IO,太陽能電池,光電/ IO:太陽能電池類
156,48.0,6125,廣運,電子設備,電機設備,電子設備:電機設備類
157,49.0,4958,臻鼎-KY,主機板,軟板,主機板:軟板類
158,49.0,6269,台郡,主機板,軟板,主機板:軟板類
159,50.0,4989,榮科,主機板,PCB上-其他,主機板:PCB上-其他類
160,50.0,8358,金居,主機板,PCB上-其他,主機板:PCB上-其他類
161,51.0,3294,英濟,電子零組件,機殼,電子零組件:機殼類
162,51.0,5245,智晶,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
163,51.0,8104,錸寶,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
164,51.0,8111,立碁,光電/ IO,封裝及應用,光電/ IO:封裝及應用類
165,52.0,3596,智易,網路設備,,網路設備類
166,52.0,5388,中磊,網路設備,,網路設備類
167,52.0,6285,啟碁,通訊設備,通訊設備,通訊設備:通訊設備類
168,53.0,3532,台勝科,半導體,晶圓材料,半導體:晶圓材料類
169,53.0,5483,中美晶,半導體,晶圓材料,半導體:晶圓材料類
170,53.0,6182,合晶,半導體,晶圓材料,半導體:晶圓材料類
171,53.0,6488,環球晶,半導體,晶圓材料,半導體:晶圓材料類
172,54.0,2643,捷迅,貨運倉儲業,,貨運倉儲業類
173,54.0,5609,中菲行,貨運倉儲業,,貨運倉儲業類
174,55.0,2707,晶華,餐飲飯店,飯店業,餐飲飯店:飯店業類
175,55.0,2731,雄獅,旅行社,,旅行社類
176,55.0,2736,富野,餐飲飯店,飯店業,餐飲飯店:飯店業類
177,55.0,2743,山富,旅行社,,旅行社類
178,55.0,5706,鳳凰,旅行社,,旅行社類
179,56.0,3035,智原,半導體,IC設計,半導體:IC設計類
180,56.0,3556,禾瑞亞,半導體,IC設計,半導體:IC設計類
181,56.0,6104,創惟,半導體,IC設計,半導體:IC設計類
182,57.0,3015,全漢,電子零組件,電源供應器,電子零組件:電源供應器類
183,57.0,6188,廣明,光電/ IO,PC週邊,光電/ IO:PC週邊類
184,58.0,6206,飛捷,主機板,POS,主機板:POS類
185,58.0,8114,振樺電,主機板,POS,主機板:POS類
186,59.0,2383,台光電,主機板,銅箔基板,主機板:銅箔基板類
187,59.0,6213,聯茂,主機板,銅箔基板,主機板:銅箔基板類
188,59.0,6274,台燿,主機板,銅箔基板,主機板:銅箔基板類
189,60.0,6245,立端,主機板,工業電腦,主機板:工業電腦類
190,60.0,8050,廣積,主機板,工業電腦,主機板:工業電腦類
191,61.0,1708,東鹼,其他化學,,其他化學類
192,61.0,1712,興農,藥,農藥肥料,藥:農藥肥料類
193,61.0,6508,惠光,藥,農藥肥料,藥:農藥肥料類
194,62.0,3661,世芯-KY,半導體,IC設計,半導體:IC設計類
195,62.0,6531,愛普*,半導體,IC設計,半導體:IC設計類
196,62.0,6533,晶心科,半導體,IC設計,半導體:IC設計類
197,62.0,6643,M31,半導體,IC設計,半導體:IC設計類
198,63.0,3037,欣興,主機板,PCB,主機板:PCB類
199,63.0,3189,景碩,主機板,IC載板,主機板:IC載板類
200,63.0,8046,南電,主機板,IC載板,主機板:IC載板類
201,64.0,2455,全新,半導體,特用IC,半導體:特用IC類
202,64.0,3105,穩懋,半導體,特用IC,半導體:特用IC類
203,64.0,4968,立積,半導體,IC設計,半導體:IC設計類
204,64.0,8086,宏捷科,半導體,特用IC,半導體:特用IC類
205,65.0,8924,大田,其他,高爾夫球頭,其他:高爾夫球頭類
206,65.0,8938,明安,其他,高爾夫球頭,其他:高爾夫球頭類
207,66.0,9914,美利達,其他,自行健行車,其他:自行健行車類
208,66.0,9921,巨大,其他,自行健行車,其他:自行健行車類
209,67.0,5871,中租-KY,租賃業,,租賃業類
210,67.0,6592,和潤企業,租賃業,,租賃業類
211,67.0,9941,裕融,租賃業,,租賃業類
212,68.0,2597,潤弘,營造,,營造類
213,68.0,2915,潤泰全,百貨批發,量販,百貨批發:量販類
214,68.0,9945,潤泰新,建設,,建設類
