代號,名稱,月份,預估營收（百萬）,mom,yoy,new_industry_name
1101,台泥,2023/02,7306.07,-0.0026,0.3391,M1100 水泥工業
1102,亞泥,2023/02,6241.24,0.2963,0.522,M1100 水泥工業
1103,嘉泥,2023/02,211.05,0.1037,0.5743,M1100 水泥工業
1104,環泥,2023/02,591.52,0.1728,0.6981,M1100 水泥工業
1108,幸福,2023/02,361.75,0.2267,0.7174,M1100 水泥工業
1109,信大,2023/02,410.95,0.379,1.2624,M1100 水泥工業
1110,東泥,2023/02,174.12,0.2629,0.7879,M1100 水泥工業
1201,味全,2023/02,1489.92,-0.0601,0.1533,M1200 食品工業
1203,味王,2023/02,515.62,0.0,0.1365,M1200 食品工業
1210,大成,2023/02,8240.33,-0.1034,0.0963,M1200 食品工業
1213,大飲,2023/02,30.74,-0.1012,0.2537,M1200 食品工業
1215,卜蜂,2023/02,2263.47,-0.0448,0.1047,M1200 食品工業
1216,統一,2023/02,40664.83,-0.1144,0.1921,M1200 食品工業
1217,愛之味,2023/02,308.66,-0.3109,-0.0135,M1200 食品工業
1218,泰山,2023/02,834.86,-0.1426,0.1214,M1200 食品工業
1219,福壽,2023/02,1293.81,-0.0306,0.1443,M1200 食品工業
1220,台榮,2023/02,178.57,-0.4037,-0.1406,M1200 食品工業
1225,福懋油,2023/02,1326.12,-0.0833,0.4189,M1200 食品工業
1227,佳格,2023/02,1413.14,-0.4315,0.0776,M1200 食品工業
1229,聯華,2023/02,812.32,-0.0018,0.2622,M1200 食品工業
1231,聯華食,2023/02,740.03,-0.419,0.0727,M1200 食品工業
1232,大統益,2023/02,2067.5,-0.1832,0.4093,M1200 食品工業
1233,天仁,2023/02,153.52,-0.2068,0.1648,M1200 食品工業
1234,黑松,2023/02,795.91,-0.0703,0.7093,M1200 食品工業
1235,興泰,2023/02,1.71,-0.3049,1.5147,M1200 食品工業
1236,宏亞,2023/02,110.19,-0.6557,0.1361,M1200 食品工業
1240,茂生農經,2023/02,239.18,-0.0303,0.1299,M3300 農業科技
1256,鮮活果汁-KY,2023/02,274.91,0.5429,0.5801,M1200 食品工業
1258,其祥-KY,2023/02,229.87,-0.148,0.3527,M1200 食品工業
1259,安心,2023/02,436.18,-0.0778,0.0527,M2700 觀光事業
1264,德麥,2023/02,383.64,-0.0902,0.4279,M1200 食品工業
1268,漢來美食,2023/02,364.64,-0.3733,0.168,M2700 觀光事業
1301,台塑,2023/02,17688.19,0.2277,-0.141,M1300 塑膠工業
1303,南亞,2023/02,21842.84,0.0765,-0.2676,M1300 塑膠工業
1304,台聚,2023/02,4507.16,0.1464,-0.1448,M1300 塑膠工業
1305,華夏,2023/02,1338.69,0.0477,-0.1483,M1300 塑膠工業
1307,三芳,2023/02,959.54,0.2146,0.2639,M1300 塑膠工業
1308,亞聚,2023/02,566.12,0.247,-0.1533,M1300 塑膠工業
1309,台達化,2023/02,1201.3,0.2189,-0.1513,M1300 塑膠工業
1310,台苯,2023/02,569.24,-0.4087,-0.4923,M1300 塑膠工業
1312,國喬,2023/02,1320.96,0.0475,0.1117,M1300 塑膠工業
1313,聯成,2023/02,5836.56,0.6205,0.1922,M1300 塑膠工業
1314,中石化,2023/02,1671.64,0.4643,-0.2513,M1300 塑膠工業
1315,達新,2023/02,117.99,-0.5114,-0.1222,M1300 塑膠工業
1316,上曜,2023/02,205.68,3.3356,1.2699,M2500 建材營造
1319,東陽,2023/02,1931.21,0.289,0.3894,M2200 汽車工業
1321,大洋,2023/02,441.56,-0.0558,-0.1179,M1300 塑膠工業
1323,永裕,2023/02,244.56,0.0064,-0.0452,M1300 塑膠工業
1324,地球,2023/02,76.81,-0.0596,0.122,M1300 塑膠工業
1325,恒大,2023/02,33.3,-0.0507,-0.17,M1300 塑膠工業
1326,台化,2023/02,28017.46,0.0954,-0.0244,M1300 塑膠工業
1336,台翰,2023/02,197.33,0.1355,0.3486,M2328 電子零組件
1337,再生-KY,2023/02,51.36,-0.3052,0.0788,M1300 塑膠工業
1338,廣華-KY,2023/02,483.3,0.0394,-0.1557,M2200 汽車工業
1339,昭輝,2023/02,172.41,0.1176,0.4144,M2200 汽車工業
1340,勝悅-KY,2023/02,44.01,-0.155,-0.0403,M1300 塑膠工業
1341,富林-KY,2023/02,206.28,-0.1858,0.1284,M1300 塑膠工業
1342,八貫,2023/02,148.75,-0.3966,-0.2062,M9900 其他
1402,遠東新,2023/02,19701.85,0.0405,0.0135,M1400 紡織纖維
1409,新纖,2023/02,3143.43,0.0486,-0.1442,M1400 紡織纖維
1410,南染,2023/02,20.35,0.2289,-0.2057,M1400 紡織纖維
1413,宏洲,2023/02,159.37,-0.251,-0.3939,M1400 紡織纖維
1414,東和,2023/02,48.82,0.3873,-0.2637,M1400 紡織纖維
1416,廣豐,2023/02,19.23,0.0502,0.0537,M9900 其他
1417,嘉裕,2023/02,159.98,0.4202,0.3071,M1400 紡織纖維
1418,東華,2023/02,3.37,-0.0639,13.0417,M1400 紡織纖維
1419,新紡,2023/02,256.96,-0.0281,0.32,M1400 紡織纖維
1423,利華,2023/02,8.36,-0.3812,-0.3247,M1400 紡織纖維
1432,大魯閣,2023/02,94.61,-0.0919,-0.0045,M2900 貿易百貨
1434,福懋,2023/02,2460.97,-0.0019,-0.0781,M1400 紡織纖維
1435,中福,2023/02,0.73,-0.0135,-0.3967,M9900 其他
1436,華友聯,2023/02,2.88,1.0571,-0.3175,M2500 建材營造
1437,勤益控,2023/02,60.98,0.1816,0.0221,M9900 其他
1438,三地開發,2023/02,150.18,0.4234,3753.5,M2500 建材營造
1440,南紡,2023/02,2006.31,0.1036,0.0312,M1400 紡織纖維
1441,大東,2023/02,106.81,-0.2247,0.1102,M1400 紡織纖維
1442,名軒,2023/02,158.47,-0.8852,3.6188,M2500 建材營造
1444,力麗,2023/02,691.15,-0.0303,-0.1497,M1400 紡織纖維
1445,大宇,2023/02,120.81,0.0532,0.3444,M1400 紡織纖維
1446,宏和,2023/02,9.17,0.194,0.4509,M1400 紡織纖維
1447,力鵬,2023/02,2132.59,-0.343,0.176,M1400 紡織纖維
1449,佳和,2023/02,208.01,0.4673,0.4273,M1400 紡織纖維
1451,年興,2023/02,399.57,-0.0652,-0.3776,M1400 紡織纖維
1452,宏益,2023/02,84.18,0.2318,-0.4273,M1400 紡織纖維
1453,大將,2023/02,0.06,0.0,-0.9992,M2500 建材營造
1454,台富,2023/02,112.57,0.1319,-0.0656,M1400 紡織纖維
1455,集盛,2023/02,581.92,0.3293,-0.2431,M1400 紡織纖維
1456,怡華,2023/02,32.68,0.3188,0.0368,M2500 建材營造
1457,宜進,2023/02,258.24,-0.1374,-0.3022,M1400 紡織纖維
1459,聯發,2023/02,107.22,-0.1912,-0.3954,M1400 紡織纖維
1460,宏遠,2023/02,644.7,0.05,-0.2024,M1400 紡織纖維
1463,強盛,2023/02,32.33,0.3432,-0.1241,M1400 紡織纖維
1464,得力,2023/02,913.44,0.2395,0.0629,M1400 紡織纖維
1465,偉全,2023/02,51.75,-0.1381,0.6917,M1400 紡織纖維
1466,聚隆,2023/02,165.73,0.2525,-0.2158,M1400 紡織纖維
1467,南緯,2023/02,362.47,-0.0082,-0.2646,M1400 紡織纖維
1468,昶和,2023/02,74.18,-0.375,-0.1106,M1400 紡織纖維
1470,大統新創,2023/02,87.01,0.5007,0.1224,M1400 紡織纖維
1471,首利,2023/02,15.69,0.1904,0.2766,M2328 電子零組件
1473,台南,2023/02,509.24,-0.0667,-0.3277,M1400 紡織纖維
1474,弘裕,2023/02,237.08,0.6329,0.0053,M1400 紡織纖維
1475,業旺,2023/02,111.25,0.0838,0.4665,M1400 紡織纖維
1476,儒鴻,2023/02,2000.86,-0.049,-0.2782,M1400 紡織纖維
1477,聚陽,2023/02,2653.73,0.1115,0.0376,M1400 紡織纖維
1503,士電,2023/02,2629.4,-0.1675,0.3036,M1500 電機機械
1504,東元,2023/02,4601.35,0.0173,0.1419,M1500 電機機械
1506,正道,2023/02,86.58,-0.0666,0.0217,M1500 電機機械
1512,瑞利,2023/02,98.89,-0.2687,1.5833,M2200 汽車工業
1513,中興電,2023/02,1982.4,0.1163,0.3814,M1500 電機機械
1514,亞力,2023/02,595.19,0.1295,0.2533,M1500 電機機械
1515,力山,2023/02,146.64,-0.587,-0.6292,M1500 電機機械
1516,川飛,2023/02,184.44,-0.1616,0.2319,M9900 其他
1517,利奇,2023/02,216.17,0.3336,-0.2794,M1500 電機機械
1519,華城,2023/02,306.96,0.6681,-0.4154,M1500 電機機械
1521,大億,2023/02,381.3,-0.0078,0.088,M2200 汽車工業
1522,堤維西,2023/02,1498.87,-0.0553,0.094,M2200 汽車工業
1524,耿鼎,2023/02,201.28,0.3768,0.7373,M2200 汽車工業
1525,江申,2023/02,141.81,0.0844,0.4676,M2200 汽車工業
1526,日馳,2023/02,118.06,0.0572,-0.1288,M1500 電機機械
1527,鑽全,2023/02,220.87,-0.1918,-0.1614,M1500 電機機械
1528,恩德,2023/02,242.84,-0.1418,0.2184,M1500 電機機械
1530,亞崴,2023/02,148.1,-0.3319,-0.207,M1500 電機機械
1531,高林股,2023/02,126.97,-0.2387,-0.2947,M1500 電機機械
1532,勤美,2023/02,957.22,0.1792,-0.2106,M1500 電機機械
1533,車王電,2023/02,248.63,-0.0915,0.1796,M2200 汽車工業
1535,中宇,2023/02,627.49,-0.0103,0.0315,M1500 電機機械
1536,和大,2023/02,578.13,-0.0598,0.329,M2200 汽車工業
1537,廣隆,2023/02,362.04,-0.261,-0.0864,M1500 電機機械
1538,正峰,2023/02,17.26,0.105,0.2987,M1500 電機機械
1539,巨庭,2023/02,51.68,-0.3263,-0.7648,M1500 電機機械
1540,喬福,2023/02,20.81,-0.6888,0.2893,M1500 電機機械
1541,錩泰,2023/02,152.0,-0.2305,-0.6028,M1500 電機機械
1558,伸興,2023/02,490.38,-0.1142,0.1334,M1500 電機機械
1560,中砂,2023/02,516.4,0.0978,-0.0269,M1500 電機機械
1565,精華,2023/02,397.18,0.1902,0.0788,M1722 生技醫療
1568,倉佑,2023/02,101.47,-0.1752,-0.2747,M2200 汽車工業
1569,濱川,2023/02,249.7,-0.299,-0.3929,M2325 電腦及週邊
1570,力肯,2023/02,48.44,0.8981,0.5456,M1500 電機機械
1580,新麥,2023/02,261.66,-0.2788,0.2104,M1500 電機機械
1582,信錦,2023/02,584.0,0.1039,-0.2069,M2328 電子零組件
1583,程泰,2023/02,323.5,-0.3766,-0.1403,M1500 電機機械
1584,精剛,2023/02,253.22,0.7075,2.1637,M9900 其他
1586,和勤,2023/02,153.69,-0.2546,-0.1898,M1500 電機機械
1587,吉茂,2023/02,179.27,-0.0117,0.0557,M2200 汽車工業
1589,永冠-KY,2023/02,699.23,-0.2667,0.5176,M1500 電機機械
1590,亞德客-KY,2023/02,2368.56,0.6248,0.3784,M1500 電機機械
1591,駿吉-KY,2023/02,5.74,0.007,-0.9117,M1500 電機機械
1593,祺驊,2023/02,67.76,-0.4531,0.2172,M1722 生技醫療
1595,川寶,2023/02,122.08,0.1081,-0.2319,M2328 電子零組件
1597,直得,2023/02,99.78,-0.0406,-0.1537,M1500 電機機械
1598,岱宇,2023/02,773.51,0.0406,0.0865,M1722 生技醫療
1599,宏佳騰,2023/02,166.21,1.4867,-0.1482,M1500 電機機械
1603,華電,2023/02,307.45,0.2183,1.1034,M1600 電器電纜
1604,聲寶,2023/02,635.16,-0.021,0.0035,M1600 電器電纜
1605,華新,2023/02,17872.16,0.1787,0.3718,M1600 電器電纜
1608,華榮,2023/02,730.69,-0.0767,-0.186,M1600 電器電纜
1609,大亞,2023/02,2036.45,0.1831,0.1314,M1600 電器電纜
1611,中電,2023/02,99.4,-0.0534,-0.0208,M1600 電器電纜
1612,宏泰,2023/02,415.69,-0.043,-0.1234,M1600 電器電纜
1614,三洋電,2023/02,447.14,-0.099,-0.0299,M1600 電器電纜
1615,大山,2023/02,294.22,0.419,0.3488,M1600 電器電纜
1616,億泰,2023/02,280.61,0.0672,0.1167,M1600 電器電纜
1617,榮星,2023/02,261.3,0.7218,0.0288,M1600 電器電纜
1618,合機,2023/02,220.22,0.45,0.5833,M1600 電器電纜
1626,艾美特-KY,2023/02,493.93,0.1502,0.5651,M1600 電器電纜
1701,中化,2023/02,645.12,-0.1239,0.215,M1722 生技醫療
1702,南僑,2023/02,1643.89,-0.0008,0.2987,M1200 食品工業
1707,葡萄王,2023/02,610.07,-0.4504,0.2613,M1722 生技醫療
1708,東鹼,2023/02,525.02,0.2064,-0.2293,M1721 化學工業
1709,和益,2023/02,695.86,-0.0588,-0.1045,M1721 化學工業
1710,東聯,2023/02,1900.47,0.2306,-0.1865,M1721 化學工業
1711,永光,2023/02,661.75,0.1979,0.0282,M1721 化學工業
1712,興農,2023/02,1526.68,-0.1875,-0.0153,M1721 化學工業
1713,國化,2023/02,54.36,1.0669,0.0726,M1721 化學工業
1714,和桐,2023/02,1589.42,0.0046,0.0659,M1721 化學工業
1717,長興,2023/02,3292.78,-0.082,0.0054,M1721 化學工業
1718,中纖,2023/02,3131.99,0.1507,0.3643,M1721 化學工業
1720,生達,2023/02,454.88,-0.1295,0.4094,M1722 生技醫療
1721,三晃,2023/02,182.93,0.0983,0.0395,M1721 化學工業
1722,台肥,2023/02,1078.96,-0.0702,-0.0255,M1721 化學工業
1723,中碳,2023/02,839.79,0.1496,0.2791,M1721 化學工業
1725,元禎,2023/02,613.63,0.1423,-0.0987,M1721 化學工業
1726,永記,2023/02,818.07,-0.1273,0.3451,M1721 化學工業
1727,中華化,2023/02,147.73,0.1032,-0.224,M1721 化學工業
1730,花仙子,2023/02,183.95,-0.4009,0.1399,M1721 化學工業
1731,美吾華,2023/02,90.68,-0.241,0.0498,M1722 生技醫療
1732,毛寶,2023/02,43.24,-0.0478,0.0714,M1721 化學工業
1733,五鼎,2023/02,135.34,-0.1521,-0.271,M1722 生技醫療
1734,杏輝,2023/02,212.31,-0.0715,0.2733,M1722 生技醫療
1735,日勝化,2023/02,188.06,0.4667,-0.1734,M1721 化學工業
1736,喬山,2023/02,2087.74,-0.557,-0.1212,M1722 生技醫療
1737,臺鹽,2023/02,250.51,-0.2179,0.1789,M1200 食品工業
1742,台蠟,2023/02,31.79,0.5328,0.18,M1721 化學工業
1752,南光,2023/02,166.39,0.0083,0.8008,M1722 生技醫療
1760,寶齡富錦,2023/02,198.13,0.5191,0.0177,M1722 生技醫療
1762,中化生,2023/02,285.65,0.9282,1.4415,M1722 生技醫療
1773,勝一,2023/02,851.28,0.1525,-0.0441,M1721 化學工業
1776,展宇,2023/02,101.5,-0.0419,-0.1592,M1721 化學工業
1777,生泰,2023/02,82.32,-0.1735,0.2923,M1722 生技醫療
1781,合世,2023/02,32.23,-0.4856,0.0235,M1722 生技醫療
1783,和康生,2023/02,42.16,-0.0252,0.0346,M1722 生技醫療
1784,訊聯,2023/02,76.06,0.1068,0.1849,M1722 生技醫療
1785,光洋科,2023/02,1487.52,-0.044,-0.1974,M2331 其他電子業
1786,科妍,2023/02,24.27,-0.6246,0.0398,M1722 生技醫療
1788,杏昌,2023/02,284.63,-0.1704,0.2013,M1722 生技醫療
1789,神隆,2023/02,184.67,-0.6122,-0.0402,M1722 生技醫療
1795,美時,2023/02,1085.92,-0.4591,0.0554,M1722 生技醫療
1796,金穎生技,2023/02,63.55,0.1519,0.5975,M1200 食品工業
1799,易威,2023/02,10.48,-0.1851,0.3699,M1722 生技醫療
1802,台玻,2023/02,3073.74,-0.2104,-0.2182,M1800 玻璃陶瓷
1805,寶徠,2023/02,0.44,-0.3714,-0.9908,M2500 建材營造
1806,冠軍,2023/02,196.73,0.2549,0.2467,M1800 玻璃陶瓷
1808,潤隆,2023/02,514.57,0.5013,4.5865,M2500 建材營造
1809,中釉,2023/02,178.12,-0.0793,0.3517,M1800 玻璃陶瓷
1810,和成,2023/02,405.55,0.4411,-0.051,M1800 玻璃陶瓷
1813,寶利徠,2023/02,31.89,0.3841,0.207,M1722 生技醫療
1815,富喬,2023/02,303.24,-0.0225,-0.1527,M2328 電子零組件
1817,凱撒衛,2023/02,130.74,-0.5041,0.409,M1800 玻璃陶瓷
1903,士紙,2023/02,13.02,-0.0211,-0.064,M1900 造紙工業
1904,正隆,2023/02,3532.12,-0.0076,0.0752,M1900 造紙工業
1905,華紙,2023/02,1904.78,0.3317,0.2251,M1900 造紙工業
1906,寶隆,2023/02,312.57,0.8518,0.0212,M1900 造紙工業
1907,永豐餘,2023/02,5860.47,0.2256,0.0924,M1900 造紙工業
1909,榮成,2023/02,3720.61,0.2871,0.0717,M1900 造紙工業
2002,中鋼,2023/02,31254.51,0.0091,-0.0676,M2000 鋼鐵工業
2006,東和鋼鐵,2023/02,4508.31,0.2712,0.1063,M2000 鋼鐵工業
2007,燁興,2023/02,457.38,0.0684,-0.1567,M2000 鋼鐵工業
2008,高興昌,2023/02,162.43,0.1187,-0.0519,M2000 鋼鐵工業
2009,第一銅,2023/02,199.42,0.2136,-0.0872,M2000 鋼鐵工業
2010,春源,2023/02,1606.58,0.3081,-0.1173,M2000 鋼鐵工業
2012,春雨,2023/02,674.58,0.1407,-0.1586,M2000 鋼鐵工業
2013,中鋼構,2023/02,1218.23,-0.366,-0.0094,M2000 鋼鐵工業
2014,中鴻,2023/02,3212.57,0.3142,-0.147,M2000 鋼鐵工業
2015,豐興,2023/02,2874.78,0.3634,0.0831,M2000 鋼鐵工業
2017,官田鋼,2023/02,194.96,-0.093,-0.239,M2000 鋼鐵工業
2020,美亞,2023/02,660.57,0.5421,0.5174,M2000 鋼鐵工業
2022,聚亨,2023/02,664.81,0.4566,-0.1253,M2000 鋼鐵工業
2023,燁輝,2023/02,5370.44,0.017,-0.2955,M2000 鋼鐵工業
2024,志聯,2023/02,83.74,0.5124,-0.1179,M2000 鋼鐵工業
2025,千興,2023/02,102.53,3.6478,-0.2323,M2000 鋼鐵工業
2027,大成鋼,2023/02,8925.02,0.2328,-0.0078,M2000 鋼鐵工業
2028,威致,2023/02,999.2,-0.3091,0.0834,M2000 鋼鐵工業
2029,盛餘,2023/02,947.38,0.2265,-0.2101,M2000 鋼鐵工業
2030,彰源,2023/02,1150.09,0.3636,0.0185,M2000 鋼鐵工業
2031,新光鋼,2023/02,1179.5,0.4453,-0.0717,M2000 鋼鐵工業
2032,新鋼,2023/02,254.85,0.2105,-0.1237,M2000 鋼鐵工業
2033,佳大,2023/02,53.26,-0.1748,0.071,M2000 鋼鐵工業
2034,允強,2023/02,1237.27,0.1077,0.0209,M2000 鋼鐵工業
2035,唐榮,2023/02,1215.68,0.2779,0.0231,M2000 鋼鐵工業
2038,海光,2023/02,818.34,0.5596,0.1024,M2000 鋼鐵工業
2049,上銀,2023/02,2006.2,0.3861,-0.1824,M1500 電機機械
2059,川湖,2023/02,301.53,-0.2441,-0.3417,M2328 電子零組件
2061,風青,2023/02,71.62,-0.2354,0.1977,M1600 電器電纜
2062,橋椿,2023/02,541.93,0.6355,-0.0419,M9900 其他
2063,世鎧,2023/02,95.29,-0.0678,0.2393,M2000 鋼鐵工業
2064,晉椿,2023/02,116.41,0.1087,-0.2397,M2000 鋼鐵工業
2065,世豐,2023/02,222.39,0.1155,0.2302,M2000 鋼鐵工業
2066,世德,2023/02,230.97,0.005,0.1119,M1500 電機機械
2067,嘉鋼,2023/02,101.41,0.4165,0.4421,M1500 電機機械
2069,運錩,2023/02,947.46,-0.0049,-0.1969,M2000 鋼鐵工業
2070,精湛,2023/02,33.98,-0.3054,0.1464,M1500 電機機械
2101,南港,2023/02,582.16,0.2314,0.1111,M2100 橡膠工業
2102,泰豐,2023/02,89.97,-0.0593,-0.1214,M2100 橡膠工業
2103,台橡,2023/02,2656.54,0.035,0.019,M2100 橡膠工業
2104,國際中橡,2023/02,1597.09,0.0506,0.0336,M2100 橡膠工業
2105,正新,2023/02,8050.52,0.0845,0.1574,M2100 橡膠工業
2106,建大,2023/02,2649.26,0.1345,-0.023,M2100 橡膠工業
2107,厚生,2023/02,102.8,-0.2839,-0.634,M2100 橡膠工業
2108,南帝,2023/02,856.1,0.4263,-0.1498,M2100 橡膠工業
2109,華豐,2023/02,338.7,0.0678,-0.2537,M2100 橡膠工業
2114,鑫永銓,2023/02,121.94,-0.1292,0.0761,M2100 橡膠工業
2115,六暉-KY,2023/02,228.09,0.5664,0.168,M2200 汽車工業
2201,裕隆,2023/02,5674.96,-0.1404,0.1297,M2200 汽車工業
2204,中華,2023/02,2852.44,-0.0063,0.4885,M2200 汽車工業
2206,三陽工業,2023/02,4948.1,0.0992,0.7539,M2200 汽車工業
2207,和泰車,2023/02,21754.36,0.1859,0.3073,M2200 汽車工業
2208,台船,2023/02,1543.37,-0.3392,-0.0385,M2600 航運業
2211,長榮鋼,2023/02,853.55,0.677,-0.0752,M2000 鋼鐵工業
2221,大甲,2023/02,106.95,0.0876,-0.0105,M9900 其他
2227,裕日車,2023/02,2159.21,-0.1226,0.2302,M2200 汽車工業
2228,劍麟,2023/02,341.81,-0.0378,0.1958,M2200 汽車工業
2230,泰茂,2023/02,46.76,-0.0359,0.167,M1500 電機機械
2231,為升,2023/02,430.5,0.3374,0.5628,M2200 汽車工業
2233,宇隆,2023/02,236.44,0.0338,-0.0969,M2200 汽車工業
2235,謚源,2023/02,31.64,-0.3769,-0.2139,M1500 電機機械
2236,百達-KY,2023/02,116.93,-0.0789,0.1554,M2200 汽車工業
2239,英利-KY,2023/02,1223.16,-0.3655,-0.1149,M2200 汽車工業
2241,艾姆勒,2023/02,57.86,0.1379,-0.2538,M2200 汽車工業
2243,宏旭-KY,2023/02,16.37,-0.92,3.2519,M2200 汽車工業
2247,汎德永業,2023/02,3014.14,-0.3176,0.9132,M2200 汽車工業
2250,IKKA-KY,2023/02,238.95,0.0578,0.015,M2200 汽車工業
2301,光寶科,2023/02,10811.25,0.0124,-0.0672,M2325 電腦及週邊
2302,麗正,2023/02,55.71,0.1402,0.3127,M2324 半導體
2303,聯電,2023/02,16931.08,-0.1357,-0.1864,M2324 半導體
2305,全友,2023/02,41.33,0.8752,0.3079,M2325 電腦及週邊
2308,台達電,2023/02,29116.66,-0.1541,0.1365,M2328 電子零組件
2312,金寶,2023/02,13203.29,-0.1425,-0.04,M2331 其他電子業
2313,華通,2023/02,4001.68,-0.1847,-0.2092,M2328 電子零組件
2314,台揚,2023/02,433.73,-0.0325,0.5488,M2327 通信網路業
2316,楠梓電,2023/02,260.15,0.0025,-0.3047,M2328 電子零組件
2317,鴻海,2023/02,402035.37,-0.3912,-0.1165,M2331 其他電子業
2321,東訊,2023/02,59.21,0.0278,-0.2502,M2327 通信網路業
2323,中環,2023/02,534.61,-0.0552,-0.1512,M2326 光電業
2324,仁寶,2023/02,66983.4,-0.1765,-0.1875,M2325 電腦及週邊
2327,國巨,2023/02,8588.05,-0.0458,-0.0713,M2328 電子零組件
2328,廣宇,2023/02,2066.89,0.0705,0.2849,M2328 電子零組件
2329,華泰,2023/02,1031.83,0.0569,-0.071,M2324 半導體
2330,台積電,2023/02,163174.1,-0.1843,0.1105,M2324 半導體
2331,精英,2023/02,1294.68,-0.1609,-0.3155,M2325 電腦及週邊
2332,友訊,2023/02,1319.9,-0.0802,0.0302,M2327 通信網路業
2337,旺宏,2023/02,2068.62,-0.0647,-0.4291,M2324 半導體
2338,光罩,2023/02,545.0,0.1613,0.0006,M2324 半導體
2342,茂矽,2023/02,126.55,-0.0601,-0.2681,M2324 半導體
2344,華邦電,2023/02,5746.02,-0.113,-0.3323,M2324 半導體
2345,智邦,2023/02,6111.79,-0.0252,0.6425,M2327 通信網路業
2347,聯強,2023/02,26084.15,-0.0713,-0.021,M2329 電子通路業
2348,海悅,2023/02,201.71,0.4845,-0.401,M9900 其他
2349,錸德,2023/02,590.4,0.056,0.2987,M2326 光電業
2351,順德,2023/02,862.25,-0.0741,0.0371,M2324 半導體
2352,佳世達,2023/02,15735.89,-0.0036,-0.1194,M2325 電腦及週邊
2353,宏碁,2023/02,14678.09,0.0767,-0.3592,M2325 電腦及週邊
2354,鴻準,2023/02,6354.81,-0.3107,0.1129,M2331 其他電子業
2355,敬鵬,2023/02,1212.2,-0.1129,-0.0392,M2328 電子零組件
2356,英業達,2023/02,35837.6,-0.1113,0.0071,M2325 電腦及週邊
2357,華碩,2023/02,34853.83,-0.1502,-0.1337,M2325 電腦及週邊
2358,廷鑫,2023/02,83.89,-0.0181,-0.24,M9900 其他
2359,所羅門,2023/02,250.56,-0.0265,-0.4755,M2331 其他電子業
2360,致茂,2023/02,1394.48,0.0484,0.2869,M2331 其他電子業
2362,藍天,2023/02,1701.24,0.0205,-0.1998,M2325 電腦及週邊
2363,矽統,2023/02,9.5,-0.5391,0.2616,M2324 半導體
2364,倫飛,2023/02,79.59,-0.0035,0.2296,M2325 電腦及週邊
2365,昆盈,2023/02,52.37,0.0151,0.0529,M2325 電腦及週邊
2367,燿華,2023/02,1028.38,-0.0338,0.0694,M2328 電子零組件
2368,金像電,2023/02,1886.09,-0.064,-0.1263,M2328 電子零組件
2369,菱生,2023/02,412.62,-0.106,-0.2071,M2324 半導體
