代號,名稱,預估月,yoy,mom,預估營收（百萬）,TEJ產業
2883,開發金,* 2023/02,2.863,2.863,8824.0,M2800 金融業
2888,新光金,* 2023/02,1.508,1.508,8301.0,M2800 金融業
2609,陽明,* 2023/02,1.392,1.392,27048.0,M2600 航運業
2404,漢唐,* 2023/03,1.053,-0.16,3973.0,M2331 其他電子業
3062,建漢,* 2023/03,0.87,0.386,456.0,M2327 通信網路業
2891,中信金,* 2023/02,0.774,0.775,13490.0,M2800 金融業
2107,厚生,* 2023/02,0.732,0.732,178.0,M2100 橡膠工業
6116,彩晶,* 2023/02,0.687,0.687,1293.0,M2326 光電業
6206,飛捷,* 2023/02,0.534,0.534,374.0,M2325 電腦及週邊
5347,世界,* 2023/02,0.5,0.5,3726.0,M2324 半導體
3022,威強電,* 2023/03,0.434,-0.074,669.0,M2325 電腦及週邊
2542,興富發,* 2023/03,0.399,-0.013,2762.0,M2500 建材營造
3529,力旺,* 2023/03,0.382,-0.63,79.0,M2324 半導體
3443,創意,* 2023/03,0.37,-0.082,2064.0,M2324 半導體
3504,揚明光,* 2023/02,0.351,0.351,281.0,M2326 光電業
8422,可寧衛,* 2023/03,0.329,0.1,510.0,M9900 其他
5512,力麒,* 2023/03,0.3,0.728,655.0,M2500 建材營造
6176,瑞儀,* 2023/02,0.295,0.295,3706.0,M2326 光電業
2409,友達,* 2023/02,0.295,0.295,20792.0,M2326 光電業
2534,宏盛,* 2023/03,0.249,1.071,665.0,M2500 建材營造
2344,華邦電,* 2023/02,0.246,0.246,7161.0,M2324 半導體
3376,新日興,* 2023/02,0.242,0.242,649.0,M2328 電子零組件
4736,泰博,* 2023/03,0.237,0.593,701.0,M1722 生技醫療
3081,聯亞,* 2023/03,0.215,1.181,207.0,M2327 通信網路業
6244,茂迪,* 2023/03,0.214,-0.044,459.0,M2326 光電業
2392,正崴,* 2023/03,0.19,0.194,6516.0,M2328 電子零組件
3711,日月光投控,* 2023/02,0.19,0.189,47560.0,M2324 半導體
6279,胡連,* 2023/03,0.183,0.057,533.0,M2328 電子零組件
5478,智冠,* 2023/03,0.179,0.085,538.0,M3200 文化創意業
8436,大江,* 2023/03,0.172,0.148,644.0,M1722 生技醫療
2834,臺企銀,* 2023/03,0.169,-0.03,2395.0,M2800 金融業
3481,群創,* 2023/02,0.16,0.16,17980.0,M2326 光電業
5534,長虹,* 2023/03,0.16,8.021,727.0,M2500 建材營造
1789,神隆,* 2023/02,0.148,0.148,212.0,M1722 生技醫療
6173,信昌電,* 2023/02,0.145,0.145,327.0,M2328 電子零組件
1477,聚陽,* 2023/03,0.131,0.09,2892.0,M1400 紡織纖維
6488,環球晶,* 2023/03,0.127,0.081,6463.0,M2324 半導體
3037,欣興,* 2023/02,0.122,0.123,9061.0,M2328 電子零組件
2231,為升,* 2023/03,0.112,-0.094,390.0,M2200 汽車工業
9904,寶成,* 2023/03,0.111,0.345,24523.0,M9900 其他
2633,台灣高鐵,* 2023/03,0.106,-0.045,3562.0,M2600 航運業
5483,中美晶,* 2023/03,0.102,0.095,7369.0,M2324 半導體
2439,美律,* 2023/03,0.101,0.246,2412.0,M2327 通信網路業
2330,台積電,* 2023/03,0.099,0.158,188949.0,M2324 半導體
4105,東洋,* 2023/03,0.097,0.186,403.0,M1722 生技醫療
3149,正達,* 2023/03,0.094,0.567,174.0,M2326 光電業
3576,聯合再生,* 2023/03,0.087,0.122,1795.0,M2326 光電業
2014,中鴻,* 2023/02,0.084,0.084,3481.0,M2000 鋼鐵工業
9938,百和,* 2023/03,0.083,0.858,1987.0,M9900 其他
2371,大同,* 2023/03,0.082,-0.119,3132.0,M1500 電機機械
2634,漢翔,* 2023/03,0.081,-0.196,2567.0,M2600 航運業
1736,喬山,* 2023/02,0.069,0.069,2231.0,M1722 生技醫療
6182,合晶,* 2023/02,0.063,0.063,950.0,M2324 半導體
4128,中天,* 2023/03,0.062,0.336,141.0,M1722 生技醫療
5371,中光電,* 2023/02,0.052,0.052,3292.0,M2326 光電業
3653,健策,* 2023/03,0.051,0.083,988.0,M2328 電子零組件
3078,僑威,* 2023/03,0.045,-0.23,562.0,M2328 電子零組件
9941,裕融,* 2023/03,0.045,-0.04,3039.0,M9900 其他
2801,彰銀,* 2023/03,0.045,-0.012,2948.0,M2800 金融業
8069,元太,* 2023/03,0.042,0.035,2428.0,M2326 光電業
8358,金居,* 2023/02,0.038,0.038,605.0,M2328 電子零組件
1319,東陽,* 2023/03,0.037,0.015,1960.0,M2200 汽車工業
2355,敬鵬,* 2023/03,0.037,0.295,1570.0,M2328 電子零組件
1409,新纖,* 2023/02,0.034,0.034,3251.0,M1400 紡織纖維
3532,台勝科,* 2023/03,0.03,0.051,1344.0,M2324 半導體
2376,技嘉,* 2023/03,0.028,-0.032,9765.0,M2325 電腦及週邊
1210,大成,* 2023/03,0.027,0.067,8790.0,M1200 食品工業
6504,南六,* 2023/03,0.027,0.117,498.0,M9900 其他
1714,和桐,* 2023/03,0.026,0.246,1980.0,M1721 化學工業
6271,同欣電,* 2023/02,0.025,0.025,985.0,M2324 半導體
2357,華碩,* 2023/02,0.024,0.024,35696.0,M2325 電腦及週邊
1308,亞聚,* 2023/03,0.024,0.291,731.0,M1300 塑膠工業
6510,精測,* 2023/03,0.022,0.484,331.0,M2324 半導體
2002,中鋼,* 2023/02,0.019,0.019,31836.0,M2000 鋼鐵工業
1216,統一,* 2023/03,0.011,0.047,42586.0,M1200 食品工業
2324,仁寶,* 2023/02,0.01,0.01,67667.0,M2325 電腦及週邊
2382,廣達,* 2023/02,0.01,0.01,84153.0,M2325 電腦及週邊
2393,億光,* 2023/02,0.009,0.009,1417.0,M2326 光電業
2362,藍天,* 2023/02,0.008,0.008,1715.0,M2325 電腦及週邊
3008,大立光,* 2023/03,0.007,0.475,3784.0,M2326 光電業
2406,國碩,* 2023/03,0.005,0.603,572.0,M2326 光電業
3293,鈊象,* 2023/03,0.002,-0.041,1015.0,M3200 文化創意業
3045,台灣大,* 2023/03,0.002,-0.024,13402.0,M2327 通信網路業
3017,奇鋐,* 2023/03,0.001,-0.014,4198.0,M2325 電腦及週邊
2323,中環,* 2023/03,-0.002,0.257,672.0,M2326 光電業
4904,遠傳,* 2023/03,-0.004,-0.011,7080.0,M2327 通信網路業
2618,長榮航,* 2023/03,-0.005,-0.17,10693.0,M2600 航運業
2201,裕隆,* 2023/03,-0.005,0.127,6395.0,M2200 汽車工業
2884,玉山金,* 2023/03,-0.008,0.285,4644.0,M2800 金融業
2903,遠百,* 2023/03,-0.009,0.241,3086.0,M2900 貿易百貨
4919,新唐,* 2023/02,-0.012,-0.012,2941.0,M2324 半導體
6214,精誠,* 2023/03,-0.013,0.083,2779.0,M2330 資訊服務業
5388,中磊,* 2023/03,-0.015,-0.125,4720.0,M2327 通信網路業
2374,佳能,* 2023/03,-0.016,0.668,410.0,M2326 光電業
2027,大成鋼,* 2023/02,-0.016,-0.016,8784.0,M2000 鋼鐵工業
3380,明泰,* 2023/03,-0.022,0.178,2815.0,M2327 通信網路業
2913,農林,* 2023/03,-0.023,-0.079,28.0,M2900 貿易百貨
4164,承業醫,* 2023/03,-0.025,0.109,220.0,M1722 生技醫療
6146,耕興,* 2023/03,-0.025,-0.025,400.0,M2331 其他電子業
3264,欣銓,* 2023/03,-0.025,0.022,1079.0,M2324 半導體
2885,元大金,* 2023/02,-0.029,-0.029,7154.0,M2800 金融業
2332,友訊,* 2023/03,-0.029,0.135,1498.0,M2327 通信網路業
2345,智邦,* 2023/03,-0.029,0.072,6552.0,M2327 通信網路業
9914,美利達,* 2023/03,-0.029,0.2,3239.0,M9900 其他
5871,中租-KY,* 2023/03,-0.031,-0.026,7092.0,M9900 其他
2412,中華電,* 2023/03,-0.031,-0.064,16788.0,M2327 通信網路業
1702,南僑,* 2023/03,-0.035,-0.008,1631.0,M1200 食品工業
2303,聯電,* 2023/03,-0.035,0.262,21366.0,M2324 半導體
2492,華新科,* 2023/02,-0.04,-0.039,2480.0,M2328 電子零組件
1802,台玻,* 2023/02,-0.04,-0.04,2951.0,M1800 玻璃陶瓷
2812,台中銀,* 2023/03,-0.043,-0.087,1211.0,M2800 金融業
3036,文曄,* 2023/02,-0.047,-0.047,30622.0,M2329 電子通路業
1101,台泥,* 2023/03,-0.048,0.3,9497.0,M1100 水泥工業
1304,台聚,* 2023/03,-0.048,0.211,5456.0,M1300 塑膠工業
8044,網家,* 2023/03,-0.05,0.074,3552.0,M3400 電子商務
9907,統一實,* 2023/03,-0.051,0.077,3318.0,M9900 其他
2328,廣宇,* 2023/03,-0.053,-0.043,1978.0,M2328 電子零組件
3682,亞太電,* 2023/03,-0.054,0.055,1033.0,M2327 通信網路業
3211,順達,* 2023/03,-0.056,0.468,1603.0,M2325 電腦及週邊
2610,華航,* 2023/03,-0.058,-0.086,11586.0,M2600 航運業
2605,新興,* 2023/03,-0.059,-0.07,292.0,M2600 航運業
3705,永信,* 2023/02,-0.059,-0.059,445.0,M1722 生技醫療
5269,祥碩,* 2023/03,-0.06,0.178,454.0,M2324 半導體
6414,樺漢,* 2023/03,-0.06,-0.056,8989.0,M2325 電腦及週邊
2915,潤泰全,* 2023/03,-0.062,-0.011,195.0,M2900 貿易百貨
2360,致茂,* 2023/03,-0.062,0.26,1757.0,M2331 其他電子業
2377,微星,* 2023/02,-0.062,-0.062,13230.0,M2325 電腦及週邊
1312,國喬,* 2023/02,-0.063,-0.063,1238.0,M1300 塑膠工業
1201,味全,* 2023/03,-0.064,-0.001,1489.0,M1200 食品工業
2547,日勝生,* 2023/02,-0.064,-0.064,363.0,M2500 建材營造
6669,緯穎,* 2023/03,-0.067,-0.015,22653.0,M2325 電腦及週邊
3035,智原,* 2023/03,-0.068,-0.044,1030.0,M2324 半導體
6282,康舒,* 2023/03,-0.068,0.386,2177.0,M2328 電子零組件
2327,國巨,* 2023/02,-0.069,-0.069,7999.0,M2328 電子零組件
2059,川湖,* 2023/03,-0.07,1.02,609.0,M2328 電子零組件
1402,遠東新,* 2023/03,-0.071,0.108,21826.0,M1400 紡織纖維
9945,潤泰新,* 2023/03,-0.074,-0.231,2136.0,M9900 其他
1907,永豐餘,* 2023/03,-0.074,0.158,6788.0,M1900 造紙工業
2338,光罩,* 2023/03,-0.078,0.028,560.0,M2324 半導體
8942,森鉅,* 2023/03,-0.078,-0.027,495.0,M9900 其他
3260,威剛,* 2023/03,-0.078,0.203,2999.0,M2324 半導體
5007,三星,* 2023/03,-0.079,0.263,659.0,M2000 鋼鐵工業
1711,永光,* 2023/03,-0.079,0.278,846.0,M1721 化學工業
5425,台半,* 2023/02,-0.081,-0.081,1034.0,M2324 半導體
1504,東元,* 2023/03,-0.082,0.032,4750.0,M1500 電機機械
8046,南電,* 2023/03,-0.088,0.154,4743.0,M2328 電子零組件
1710,東聯,* 2023/03,-0.089,0.045,1986.0,M1721 化學工業
2317,鴻海,* 2023/03,-0.09,0.149,461935.0,M2331 其他電子業
1605,華新,* 2023/03,-0.09,-0.183,14600.0,M1600 電器電纜
6213,聯茂,* 2023/03,-0.093,0.212,2501.0,M2328 電子零組件
1440,南紡,* 2023/02,-0.097,-0.097,1811.0,M1400 紡織纖維
2301,光寶科,* 2023/03,-0.098,0.264,13665.0,M2325 電腦及週邊
3691,碩禾,* 2023/03,-0.098,0.978,452.0,M2326 光電業
6239,力成,* 2023/03,-0.101,0.225,6388.0,M2324 半導體
2450,神腦,* 2023/02,-0.105,-0.105,2420.0,M2327 通信網路業
1722,台肥,* 2023/03,-0.106,0.228,1325.0,M1721 化學工業
3706,神達,* 2023/03,-0.106,0.649,3816.0,M2325 電腦及週邊
2474,可成,* 2023/03,-0.107,1.224,2397.0,M2331 其他電子業
6274,台燿,* 2023/03,-0.108,0.233,1548.0,M2328 電子零組件
2601,益航,* 2023/03,-0.114,0.128,493.0,M2900 貿易百貨
3044,健鼎,* 2023/03,-0.116,0.06,4924.0,M2328 電子零組件
2106,建大,* 2023/03,-0.116,0.272,3369.0,M2100 橡膠工業
3552,同致,* 2023/03,-0.117,0.025,698.0,M2331 其他電子業
2356,英業達,* 2023/02,-0.117,-0.117,31629.0,M2325 電腦及週邊
1326,台化,* 2023/03,-0.118,0.145,32093.0,M1300 塑膠工業
1707,葡萄王,* 2023/02,-0.118,-0.118,538.0,M1722 生技醫療
2101,南港,* 2023/03,-0.122,0.001,583.0,M2100 橡膠工業
2449,京元電子,* 2023/03,-0.122,0.155,2886.0,M2324 半導體
1447,力鵬,* 2023/03,-0.125,0.224,2610.0,M1400 紡織纖維
1904,正隆,* 2023/02,-0.125,-0.125,3090.0,M1900 造紙工業
2498,宏達電,* 2023/03,-0.126,0.48,372.0,M2327 通信網路業
8086,宏捷科,* 2023/03,-0.128,0.515,159.0,M2324 半導體
5880,合庫金,* 2023/02,-0.128,-0.128,3716.0,M2800 金融業
3152,璟德,* 2023/03,-0.129,0.161,122.0,M2327 通信網路業
2520,冠德,* 2023/03,-0.131,-0.325,1494.0,M2500 建材營造
2845,遠東銀,* 2023/02,-0.133,-0.133,827.0,M2800 金融業
4532,瑞智,* 2023/03,-0.135,0.28,1685.0,M1500 電機機械
1717,長興,* 2023/02,-0.136,-0.136,2846.0,M1721 化學工業
2313,華通,* 2023/03,-0.138,0.312,5249.0,M2328 電子零組件
1565,精華,* 2023/03,-0.14,0.103,438.0,M1722 生技醫療
5203,訊連,* 2023/02,-0.141,-0.141,124.0,M2330 資訊服務業
6121,新普,* 2023/03,-0.143,0.098,6988.0,M2325 電腦及週邊
5274,信驊,* 2023/03,-0.143,0.663,371.0,M2324 半導體
2385,群光,* 2023/03,-0.148,0.316,9033.0,M2328 電子零組件
6153,嘉聯益,* 2023/03,-0.15,0.932,1064.0,M2328 電子零組件
1723,中碳,* 2023/02,-0.158,-0.158,707.0,M1721 化學工業
2352,佳世達,* 2023/03,-0.16,0.199,18869.0,M2325 電腦及週邊
3533,嘉澤,* 2023/03,-0.16,0.097,2020.0,M2328 電子零組件
2388,威盛,* 2023/03,-0.161,0.084,788.0,M2324 半導體
1590,亞德客-KY,* 2023/03,-0.162,0.005,2381.0,M1500 電機機械
2006,東和鋼鐵,* 2023/03,-0.163,0.132,5102.0,M2000 鋼鐵工業
4960,誠美材,* 2023/03,-0.163,0.372,798.0,M2326 光電業
3324,雙鴻,* 2023/03,-0.165,0.125,1113.0,M2331 其他電子業
2481,強茂,* 2023/03,-0.167,0.17,1079.0,M2324 半導體
3227,原相,* 2023/03,-0.17,0.153,412.0,M2324 半導體
2892,第一金,* 2023/02,-0.17,-0.17,4813.0,M2800 金融業
3019,亞光,* 2023/03,-0.172,0.206,1462.0,M2326 光電業
3042,晶技,* 2023/03,-0.172,0.161,943.0,M2328 電子零組件
2308,台達電,* 2023/02,-0.173,-0.173,24082.0,M2328 電子零組件
2489,瑞軒,* 2023/02,-0.174,-0.174,919.0,M2326 光電業
3406,玉晶光,* 2023/03,-0.175,0.1,1020.0,M2326 光電業
2890,永豐金,* 2023/03,-0.176,-0.073,3688.0,M2800 金融業
2347,聯強,* 2023/03,-0.177,0.276,33273.0,M2329 電子通路業
2383,台光電,* 2023/03,-0.177,0.198,2833.0,M2328 電子零組件
5306,桂盟,* 2023/03,-0.179,0.322,562.0,M9900 其他
6462,神盾,* 2023/03,-0.18,0.037,332.0,M2324 半導體
1536,和大,* 2023/02,-0.182,-0.182,473.0,M2200 汽車工業
2105,正新,* 2023/02,-0.187,-0.187,6542.0,M2100 橡膠工業
3189,景碩,* 2023/03,-0.189,0.44,3038.0,M2324 半導體
1301,台塑,* 2023/03,-0.192,0.21,21404.0,M1300 塑膠工業
1718,中纖,* 2023/02,-0.193,-0.193,2527.0,M1721 化學工業
1102,亞泥,* 2023/03,-0.194,0.054,6580.0,M1100 水泥工業
8299,群聯,* 2023/03,-0.195,0.568,5135.0,M2324 半導體
2880,華南金,* 2023/02,-0.198,-0.198,3646.0,M2800 金融業
8150,南茂,* 2023/03,-0.198,0.315,1890.0,M2324 半導體
2886,兆豐金,* 2023/02,-0.198,-0.198,4592.0,M2800 金融業
9939,宏全,* 2023/02,-0.202,-0.202,1527.0,M9900 其他
3702,大聯大,* 2023/03,-0.203,0.409,63822.0,M2329 電子通路業
1476,儒鴻,* 2023/03,-0.203,0.483,2967.0,M1400 紡織纖維
3231,緯創,* 2023/03,-0.206,0.213,75280.0,M2325 電腦及週邊
6257,矽格,* 2023/03,-0.208,0.172,1371.0,M2324 半導體
1314,中石化,* 2023/03,-0.209,0.235,2064.0,M1300 塑膠工業
8163,達方,* 2023/03,-0.213,0.179,2165.0,M2325 電腦及週邊
6605,帝寶,* 2023/02,-0.214,-0.214,1207.0,M2200 汽車工業
2606,裕民,* 2023/03,-0.216,0.085,954.0,M2600 航運業
2049,上銀,* 2023/03,-0.216,0.059,2125.0,M1500 電機機械
3714,富采,* 2023/03,-0.217,0.58,2314.0,M2326 光電業
3454,晶睿,* 2023/02,-0.219,-0.219,677.0,M2326 光電業
6005,群益證,* 2023/02,-0.225,-0.225,707.0,M2800 金融業
3374,精材,* 2023/03,-0.227,0.248,514.0,M2324 半導體
1303,南亞,* 2023/03,-0.227,0.309,28602.0,M1300 塑膠工業
6147,頎邦,* 2023/03,-0.23,0.31,1839.0,M2324 半導體
8039,台虹,* 2023/03,-0.236,0.447,624.0,M2328 電子零組件
2353,宏碁,* 2023/03,-0.239,0.571,23053.0,M2325 電腦及週邊
2331,精英,* 2023/03,-0.242,0.633,2114.0,M2325 電腦及週邊
2887,台新金,* 2023/02,-0.242,-0.242,4790.0,M2800 金融業
2379,瑞昱,* 2023/03,-0.244,0.274,7895.0,M2324 半導體
4401,東隆興,* 2023/03,-0.25,0.752,344.0,M1400 紡織纖維
4938,和碩,* 2023/03,-0.251,-0.062,86518.0,M2325 電腦及週邊
2337,旺宏,* 2023/03,-0.253,0.538,3181.0,M2324 半導體
6278,台表科,* 2023/03,-0.255,0.524,4482.0,M2326 光電業
2455,全新,* 2023/03,-0.256,1.168,213.0,M2327 通信網路業
2515,中工,* 2023/02,-0.264,-0.264,1132.0,M2500 建材營造
8936,國統,* 2023/03,-0.266,0.505,244.0,M9900 其他
2441,超豐,* 2023/03,-0.268,0.228,1229.0,M2324 半導體
5009,榮剛,* 2023/02,-0.269,-0.269,775.0,M2000 鋼鐵工業
3673,TPK-KY,* 2023/03,-0.269,0.438,7715.0,M2326 光電業
3006,晶豪科,* 2023/03,-0.276,0.481,1318.0,M2324 半導體
6269,台郡,* 2023/03,-0.279,-0.022,2453.0,M2328 電子零組件
3041,揚智,* 2023/03,-0.282,0.154,191.0,M2324 半導體
4958,臻鼎-KY,* 2023/03,-0.285,-0.028,9666.0,M2328 電子零組件
3060,銘異,* 2023/03,-0.291,0.483,267.0,M2325 電腦及週邊
5457,宣德,* 2023/03,-0.293,0.096,1177.0,M2328 電子零組件
8081,致新,* 2023/03,-0.299,0.238,657.0,M2324 半導體
3105,穩懋,* 2023/03,-0.3,0.508,1293.0,M2324 半導體
2454,聯發科,* 2023/03,-0.309,0.35,40903.0,M2324 半導體
2485,兆赫,* 2023/02,-0.311,-0.311,346.0,M2327 通信網路業
5471,松翰,* 2023/03,-0.316,0.503,264.0,M2324 半導體
6285,啟碁,* 2023/02,-0.317,-0.317,5641.0,M2327 通信網路業
2062,橋椿,* 2023/03,-0.328,0.131,613.0,M9900 其他
2881,富邦金,* 2023/03,-0.329,1.84,21110.0,M2800 金融業
2882,國泰金,* 2023/03,-0.332,1.55,33854.0,M2800 金融業
2401,凌陽,* 2023/03,-0.338,0.271,504.0,M2324 半導體
2615,萬海,* 2023/03,-0.343,1.185,15975.0,M2600 航運業
2603,長榮,* 2023/03,-0.344,1.06,38476.0,M2600 航運業
1785,光洋科,* 2023/03,-0.35,0.373,2043.0,M2331 其他電子業
1532,勤美,* 2023/03,-0.375,0.184,1133.0,M1500 電機機械
3034,聯詠,* 2023/03,-0.377,0.017,7774.0,M2324 半導體
2548,華固,* 2023/03,-0.393,-0.214,617.0,M2500 建材營造
2408,南亞科,* 2023/03,-0.396,1.009,4071.0,M2324 半導體
2458,義隆,* 2023/03,-0.4,0.25,987.0,M2324 半導體
1909,榮成,* 2023/03,-0.403,-0.128,3246.0,M1900 造紙工業
2354,鴻準,* 2023/03,-0.421,-0.201,5077.0,M2331 其他電子業
6547,高端疫苗,* 2023/03,-0.499,inf,44.0,M1722 生技醫療
2545,皇翔,* 2023/03,-0.516,1.015,420.0,M2500 建材營造
4123,晟德,* 2023/02,-0.625,-0.625,46.0,M1722 生技醫療
4162,智擎,* 2023/03,-0.706,0.936,39.0,M1722 生技醫療
2809,京城銀,* 2023/03,-2.356,-0.554,472.0,M2800 金融業
