可轉債名稱,可轉債代碼,擔保銀行/信用評等(TCRI),權利金(佰元報價),選擇權到期日,賣回價格(A),賣回日期(B),剩餘年期,折現率(C),權利金參考價,現股參考價,轉換價格,CB轉換價值,CB參考價,溢(折)價%,股價波動率120天%,股價波動率240天%,流通餘額占發行總額%,原始發行量,產業,,,
上曜四,13164,日盛銀,1.57 ,2024/1/15,100.75,2024/1/29,0.96,2.10%,8.57 ,12.1,16.2,74.69 ,107,43.3 ,38.3,43.08,59.05,"400,000,000 ",建材營建,,,
八貫一,13421,華南銀,5.48 ,2025/5/19,100,2025/6/2,2.30,2.25%,119.48 ,144.5,69.1,209.12 ,214,2.3 ,58.06,46.04,48.45,"200,000,000 ",其他,,,
華友聯一,14361,一銀,4.55 ,2025/1/3,100,2025/1/17,1.93,2.20%,67.55 ,54.2,33.3,162.76 ,163,0.1 ,10.06,13.14,88.03,"300,000,000 ",建材營建,,,
華友聯二,14362,一銀,1.23 ,2023/11/17,100.75,2023/12/1,0.80,2.10%,50.23 ,54.2,37.4,144.92 ,149,2.8 ,10.06,13.14,98.54,"1,000,000,000 ",建材營建,,,
弘裕二,14742,6,6.61 ,2025/1/12,101.5075,2025/1/26,1.95,4.00%,6.61 ,12.1,15.3,79.08 ,100,26.4 ,25.72,26.53,100,"300,000,000 ",紡織纖維,,,
中興電二,15132,5,2.08 ,2023/12/3,100.75,2023/12/17,0.84,3.00%,48.58 ,81.9,55.6,147.30 ,146.5,(0.5),38.34,38.65,70.02,"1,500,000,000 ",電機機械,,,
勤美四,15324,6,3.59 ,2024/1/10,100.5,2024/1/24,0.95,4.00%,17.59 ,31.65,32,98.91 ,114,15.3 ,17.08,19.16,100,"1,500,000,000 ",電機機械,,,
信錦三,15823,4,5.81 ,2024/8/26,100,2024/9/9,1.57,3.50%,14.21 ,61,61.6,99.03 ,108.4,9.5 ,15.83,14.38,100,"1,200,000,000 ",電子–電子零組件,,,
和勤二,15862,合庫,1.45 ,2023/8/17,100,2023/8/31,0.55,2.10%,3.55 ,33.85,41.36,81.84 ,102.1,24.8 ,10.81,9.67,100,"200,000,000 ",電機機械,,,
岱宇二,15982,永豐銀,1.41 ,2023/8/10,100,2023/8/24,0.53,2.10%,4.41 ,48,78.2,61.38 ,103,67.8 ,36.37,37.58,70.68,"600,000,000 ",生技醫療,,,
宏佳騰一,15991,富邦銀,6.52 ,2025/11/4,100,2025/11/18,2.76,2.25%,11.97 ,39.9,43.3,92.15 ,105.45,14.4 ,18.06,25.77,100,"300,000,000 ",電機機械,,,
大亞四,16094,5,6.21 ,2024/11/8,100.75,2024/11/22,1.78,3.75%,13.06 ,23.3,26.7,87.27 ,106.85,22.4 ,38.13,39.93,100,"1,200,000,000 ",電器電纜,,,
榮星三,16173,6,8.13 ,2025/2/16,100.3755,2025/3/2,2.05,4.00%,7.03 ,14.95,17.3,86.42 ,98.9,14.4 ,8.84,12.31,100,"200,000,000 ",電器電纜,,,
中華化一,17271,6,5.86 ,2024/9/19,101.0025,2024/10/3,1.64,4.00%,8.91 ,26.2,30.8,85.06 ,103.05,21.1 ,40.26,49.11,100,"600,000,000 ",化學工業,,,
科妍二,17862,6,8.49 ,2025/9/19,103.0301,2025/10/3,2.64,4.25%,36.99 ,60.1,48.25,124.56 ,128.5,3.2 ,45.3,37.03,99.1,"400,000,000 ",生技醫療,,,
寶徠一,18051,台中商銀,3.86 ,2024/9/10,100,2024/9/24,1.61,2.20%,6.46 ,10,15.8,63.29 ,102.6,62.1 ,24.87,23.61,100,"300,000,000 ",建材營建,,,
春雨一,20121,彰銀,5.06 ,2025/3/11,100,2025/3/25,2.11,2.25%,7.26 ,24.1,33.7,71.51 ,102.2,42.9 ,14.89,23.42,100,"700,000,000 ",鋼鐵工業,,,
春雨二,20122,華南銀,5.06 ,2025/3/11,100,2025/3/25,2.11,2.25%,6.86 ,24.1,33.7,71.51 ,101.8,42.4 ,14.89,23.42,100,"500,000,000 ",鋼鐵工業,,,
春雨三,20123,上海銀,5.06 ,2025/3/11,100,2025/3/25,2.11,2.25%,7.86 ,24.1,33.7,71.51 ,102.8,43.7 ,14.89,23.42,100,"400,000,000 ",鋼鐵工業,,,
允強三,20343,4,2.64 ,2023/12/1,100,2023/12/15,0.84,2.80%,34.04 ,30.2,23.6,127.97 ,131.4,2.7 ,27.27,30.83,78.38,"1,000,000,000 ",鋼鐵工業,,,
風青二,20612,中信銀,2.22 ,2023/12/29,100,2024/1/12,0.91,2.10%,26.22 ,25.8,21.5,120.00 ,124,3.3 ,40.63,33.67,94.1,"100,000,000 ",電器電纜,,,
世豐二,20652,5,3.67 ,2024/3/8,100.5006,2024/3/22,1.10,3.50%,12.67 ,55.1,54.7,100.73 ,109,8.2 ,14.54,16.99,100,"600,000,000 ",鋼鐵工業,,,
世德一,20661,6,7.13 ,2024/11/24,100,2024/12/8,1.82,3.75%,46.03 ,84.8,61.2,138.56 ,138.9,0.2 ,43.3,36.59,37.32,"400,000,000 ",電機機械,,,
台船一,22081,彰銀,0.56 ,2024/2/10,102.0151,2024/2/24,1.03,2.20%,12.06 ,20.65,22,93.86 ,111.5,18.8 ,34.19,31.05,90.31,"2,000,000,000 ",航運業,,,
泰茂四,22304,板信銀,7.55 ,2025/12/23,100,2026/1/6,2.90,2.50%,90.55 ,52.1,29,179.66 ,183,1.9 ,74.24,64.46,100,"300,000,000 ",電機機械,,,
為升三,22313,5,8.97 ,2025/8/15,101.5075,2025/8/29,2.54,4.00%,26.77 ,158,141.8,111.42 ,117.8,5.7 ,41.18,37.89,99.99,"1,300,000,000 ",汽車工業,,,
廷鑫一,23581,合庫,6.34 ,2025/9/14,100,2025/9/28,2.62,2.30%,23.04 ,16.1,15.15,106.27 ,116.7,9.8 ,48.44,44.8,99.96,"300,000,000 ",其他,,,
台光電五,23835,3,6.90 ,2025/4/11,100,2025/4/25,2.20,3.00%,10.25 ,190,246.8,76.99 ,103.35,34.2 ,44.53,42.83,100,"3,465,300,000 ",電子–電子零組件,,,
美律三,24393,3,5.38 ,2024/7/28,100,2024/8/11,1.49,3.40%,5.08 ,82.9,110.6,74.95 ,99.7,33.0 ,36.39,31.78,100,"3,000,000,000 ",電子–通信網路,,,
光群雷六,24616,台中商銀,1.24 ,2024/3/10,101.51,2024/3/24,1.11,2.20%,19.24 ,19.3,16.9,114.20 ,118,3.3 ,17.48,23.81,87.56,"600,000,000 ",電子–其他電子,,,
華新科一,24921,3,4.53 ,2024/4/15,100,2024/4/29,1.21,3.50%,2.33 ,93,215.6,43.14 ,97.8,126.7 ,41.18,40.46,99.97,"4,800,000,000 ",電子–電子零組件,,,
怡利電二,24972,兆豐銀,5.70 ,2025/6/23,100,2025/7/7,2.40,2.25%,14.00 ,75.1,84.6,88.77 ,108.3,22.0 ,51.62,59.8,100,"300,000,000 ",汽車工業,,,
皇普二,25282,元大銀,2.60 ,2024/9/11,101.2562,2024/9/25,1.62,2.20%,12.60 ,17.75,21.73,81.68 ,110,34.7 ,31.49,25.11,100,"700,000,000 ",建材營建,,,
櫻花建一,25391,合庫,0.72 ,2023/8/20,100.75,2023/9/3,0.55,2.10%,86.72 ,34,17.62,192.96 ,186,(3.6),11.93,11.84,29.35,"200,000,000 ",建材營建,,,
長榮四,26034,4,3.83 ,2024/5/4,100,2024/5/18,1.26,2.80%,8.38 ,147,189.9,77.41 ,104.55,35.1 ,44.64,50.64,99.62,"5,000,000,000 ",航運業,,,
華航七,26107,twBBB+,3.44 ,2024/4/14,100,2024/4/28,1.21,2.60%,16.44 ,18.85,18.3,103.01 ,113,9.7 ,36.32,44.48,50.86,"4,500,000,000 ",航運業,,,
長榮航五,26185,6,3.74 ,2024/8/18,100.75,2024/9/1,1.55,2.70%,55.74 ,28.45,18.9,150.53 ,152,1.0 ,37.6,48.18,14.46,"5,000,000,000 ",航運業,,,
正德五,26415,6,11.35 ,2025/7/14,100,2025/7/28,2.45,4.50%,12.35 ,17.85,19.39,92.06 ,101,9.7 ,40.66,47.14,98.05,"600,000,000 ",航運業,,,
雲品一,27481,7,3.75 ,2023/12/10,100,2023/12/24,0.86,4.00%,53.75 ,75.8,52.3,144.93 ,150,3.5 ,46.32,38.07,48.57,"800,000,000 ",觀光事業,,,
台新金E1,288701,twA+,6.06 ,2025/3/18,100,2025/4/1,2.13,2.70%,8.16 ,17.3,19.5,88.72 ,102.1,15.1 ,22.11,22.81,100,"5,000,000,000 ",金融保險,,,
新光金五,28886,twA+,2.07 ,2023/12/3,100,2023/12/17,0.84,2.10%,5.37 ,8.66,9.27,93.42 ,103.3,10.6 ,15.46,22.46,99.98,"5,000,000,000 ",金融保險,,,
集雅社一,29371,華南銀,1.47 ,2023/8/21,100,2023/9/4,0.56,2.10%,15.97 ,36.55,31.9,114.58 ,114.5,(0.1),14.95,18.48,86.56,"250,000,000 ",貿易百貨,,,
華立三,30103,4,3.38 ,2024/8/10,101.5075,2024/8/24,1.53,3.00%,11.08 ,87.7,91.7,95.64 ,107.7,12.6 ,18.81,23.49,100,"2,000,000,000 ",電子–電子通路,,,
嘉晶四,30164,6,8.80 ,2025/3/15,100,2025/3/29,2.12,4.00%,6.30 ,76.5,126.2,60.62 ,97.5,60.8 ,40.53,44.91,100,"500,000,000 ",電子–半導體,,,
信邦八,30238,4,4.79 ,2024/11/28,101.0025,2024/12/12,1.83,3.00%,21.19 ,310,286.5,108.20 ,116.4,7.6 ,28.15,34.47,100,"1,000,000,000 ",電子–電子零組件,,,
增你強四,30284,6,6.19 ,2024/7/20,100,2024/8/3,1.47,4.00%,20.09 ,30.05,26.15,114.91 ,113.9,(0.9),15.59,19.78,74.86,"600,000,000 ",電子–電子通路,,,
晶技五,30425,4,4.65 ,2024/7/12,100,2024/7/26,1.45,3.00%,8.90 ,86.5,122.9,70.38 ,104.25,48.1 ,22.96,25.87,100,"1,200,000,000 ",電子–電子零組件,,,
訊舟七,30477,彰銀,2.03 ,2024/3/16,100.75,2024/3/30,1.13,2.20%,21.03 ,15.35,13.5,113.70 ,119,4.7 ,50.45,45.21,46.97,"400,000,000 ",電子–通信網路,,,
笙泉一,31221,彰銀,3.87 ,2024/9/13,100,2024/9/27,1.62,2.20%,5.57 ,26.5,49.18,53.88 ,101.7,88.7 ,47.21,54.31,100,"200,000,000 ",電子–半導體,,,
耀登一,31381,兆豐銀,4.55 ,2025/1/4,100,2025/1/18,1.93,2.20%,7.55 ,141.5,224.6,63.00 ,103,63.5 ,52.63,51.41,100,"400,000,000 ",電子–通信網路,,,
晶宏二,31412,6,4.00 ,2023/12/13,100,2023/12/27,0.87,4.25%,1.45 ,101,281.9,35.83 ,97.45,172.0 ,58.02,61.98,100,"800,000,000 ",電子–半導體,,,
正達三,31493,板信銀,2.98 ,2024/3/12,100,2024/3/26,1.12,2.40%,6.98 ,18.9,35.57,53.13 ,104,95.7 ,49.82,51.12,100,"500,000,000 ",電子–光電,,,
波若威二,31632,6,2.90 ,2023/9/24,100,2023/10/8,0.65,4.00%,7.90 ,54.9,61,90.00 ,105,16.7 ,46.27,49.14,100,"300,000,000 ",電子–通信網路,,,
新洲二,31712,一銀,1.71 ,2023/10/1,100,2023/10/15,0.67,2.10%,5.06 ,17.2,18.7,91.98 ,103.35,12.4 ,23.74,24.65,100,"200,000,000 ",貿易百貨,,,
樺晟四,32024,華南銀,0.58 ,2023/9/9,101,2023/9/23,0.61,2.10%,2.58 ,15.6,23.21,67.21 ,102,51.8 ,33.22,35.22,100,"300,000,000 ",電子–電子零組件,,,
全科四,32094,6,4.90 ,2024/7/7,101.5056,2024/7/21,1.44,4.25%,27.00 ,40.55,33,122.88 ,122.1,(0.6),21.94,29.91,79.6,"600,000,000 ",電子–電子通路,,,
海德威一,32681,合庫,4.51 ,2024/12/27,100,2025/1/10,1.91,2.20%,9.76 ,23.45,28.36,82.69 ,105.25,27.3 ,48.57,44.78,100,"200,000,000 ",電子–半導體,,,
東浦三,32903,華南銀,6.69 ,2025/11/8,100,2025/11/22,2.78,2.30%,32.29 ,24.15,20.35,118.67 ,125.6,5.8 ,35.92,38.8,100,"300,000,000 ",電子–電子零組件,,,
佳穎一,33101,彰銀,5.53 ,2025/9/4,100.7523,2025/9/18,2.60,2.30%,113.53 ,53.2,25.42,209.28 ,208,(0.6),27.5,29.57,70.11,"600,000,000 ",電子–電子零組件,,,
建舜電四,33224,6,6.73 ,2024/8/23,101.0025,2024/9/6,1.56,4.75%,13.73 ,20.45,22.04,92.79 ,107,15.3 ,41.64,49.96,99.77,"400,000,000 ",電子–電子零組件,,,
雙鴻四,33244,4,0.88 ,2023/10/29,101.51,2023/11/12,0.75,2.80%,8.68 ,157.5,220.2,71.53 ,107.8,50.7 ,43.05,50.68,100,"1,000,000,000 ",電子–其他電子,,,
泰谷四,33394,板信銀,4.03 ,2024/8/19,100,2024/9/2,1.55,2.40%,5.48 ,12.55,19.1,65.71 ,101.45,54.4 ,36.12,43.63,95.1,"300,000,000 ",電子–光電,,,
崇越電一,33881,4,9.21 ,2025/10/26,100,2025/11/9,2.74,3.25%,16.21 ,74.6,73.6,101.36 ,107,5.6 ,13.91,14.07,100,"700,000,000 ",電子–電子零組件,,,
京鼎二,34132,4,2.42 ,2023/11/2,100,2023/11/16,0.76,2.80%,18.87 ,199.5,183.5,108.72 ,116.45,7.1 ,32.35,33.04,95.4,"2,000,000,000 ",電子–半導體,,,
融程電二,34162,5,4.17 ,2024/3/8,100,2024/3/22,1.10,3.50%,23.17 ,85.7,71.4,120.03 ,119,(0.9),10.59,10.38,86.86,"500,000,000 ",電子–電腦及週邊設備,,,
進泰電子三,34653,中信銀,0.18 ,2023/4/7,100.5006,2023/4/21,0.18,2.10%,0.68 ,97,215.5,45.01 ,100.5,123.3 ,36.67,42.45,93.58,"600,000,000 ",電子–電子零組件,,,
力致三,34833,6,1.64 ,2023/9/15,101.0025,2023/9/29,0.62,3.75%,6.84 ,60.2,72.6,82.92 ,105.2,26.9 ,40.63,40.28,100,"300,000,000 ",電子–電腦及週邊設備,,,
崧騰二,34842,5,3.97 ,2024/1/22,100,2024/2/5,0.98,3.75%,6.47 ,45.8,67.2,68.15 ,102.5,50.4 ,35.17,34.85,100,"300,000,000 ",電子–電子零組件,,,
森寶一,34891,合庫,2.05 ,2023/11/30,100,2023/12/14,0.83,2.10%,5.15 ,10.3,12.8,80.47 ,103.1,28.1 ,18.98,24.75,100,"100,000,000 ",建材營建,,,
皇龍一,35121,一銀,0.34 ,2023/5/3,100.5,2023/5/17,0.25,2.10%,5.19 ,28.6,33.3,85.89 ,104.85,22.1 ,12.18,14.94,100,"400,000,000 ",建材營建,,,
凡甲四,35264,5,2.50 ,2023/9/16,100,2023/9/30,0.63,3.50%,86.50 ,129.5,77.3,167.53 ,184,9.8 ,39.51,40.78,27.83,"600,000,000 ",電子–電子零組件,,,
凡甲五,35265,5,7.83 ,2025/1/31,100,2025/2/14,2.01,3.75%,11.83 ,129.5,190.6,67.94 ,104,53.1 ,39.51,40.78,100,"800,000,000 ",電子–電子零組件,,,
兆利一,35481,5,8.58 ,2025/4/14,100,2025/4/28,2.21,3.75%,18.58 ,65.5,69.7,93.97 ,110,17.1 ,28.55,36.59,100,"400,000,000 ",電子–電子零組件,,,
聯合再生三,35763,一銀等,4.04 ,2024/10/11,100,2024/10/25,1.70,2.20%,16.84 ,20.7,20.5,100.98 ,112.8,11.7 ,26.69,31.62,100,"3,000,000,000 ",電子–光電,,,
友威科二,35802,土銀,-0.20 ,2023/4/29,101.0025,2023/5/13,0.24,2.10%,14.30 ,62,63.5,97.64 ,114.5,17.3 ,45.37,41.55,100,"300,000,000 ",電子–其他電子,,,
艾笛森三,35913,富邦銀,1.54 ,2024/1/11,100.7519,2024/1/25,0.95,2.10%,25.49 ,21.65,17.9,120.95 ,123.95,2.5 ,44.5,44.16,59.26,"300,000,000 ",電子–光電,,,
宏致二,36052,5,5.90 ,2024/11/8,101.5075,2024/11/22,1.78,4.00%,6.40 ,32.7,48.5,67.42 ,100.5,49.1 ,32.92,38.26,99.81,"600,000,000 ",電子–電子零組件,,,
晟楠三,36313,新光銀,2.67 ,2024/2/27,100,2024/3/12,1.08,2.20%,3.67 ,37.5,56.8,66.02 ,101,53.0 ,32.87,31.87,100,"300,000,000 ",電子–電子零組件,,,
達邁一,36451,6,6.06 ,2024/6/7,100,2024/6/21,1.35,4.25%,3.51 ,33.55,55.3,60.67 ,97.45,60.6 ,35.86,47.1,100,"600,000,000 ",電子–電子零組件,,,
健策三,36533,4,2.29 ,2023/10/16,100,2023/10/30,0.71,2.80%,34.79 ,393.5,306.7,128.30 ,132.5,3.3 ,44.1,51.4,62.28,"2,000,000,000 ",電子–電子零組件,,,
家登三,36803,6,5.89 ,2024/6/23,100,2024/7/7,1.40,4.00%,32.89 ,289.5,227.5,127.25 ,127,(0.2),47.98,48.65,80.24,"1,000,000,000 ",電子–半導體,,,
歐買尬一,36871,一銀,5.32 ,2025/4/22,100,2025/5/6,2.23,2.25%,7.07 ,89.3,150.6,59.30 ,101.75,71.6 ,49.23,53.77,100,"600,000,000 ",電子商務,,,
湧德三,36893,台中商銀,2.04 ,2023/11/27,100,2023/12/11,0.82,2.10%,13.94 ,33.4,31.72,105.30 ,111.9,6.3 ,31.22,37.63,15.56,"300,000,000 ",電子–電子零組件,,,
漢磊三,37073,一銀,3.29 ,2024/6/8,100,2024/6/22,1.36,2.20%,38.14 ,95.2,73.3,129.88 ,134.85,3.8 ,45.99,54.24,15,"600,000,000 ",電子–半導體,,,
漢磊四,37074,一銀,5.14 ,2025/3/24,100,2025/4/7,2.15,2.25%,17.14 ,95.2,118.4,80.41 ,112,39.3 ,45.99,54.24,100,"1,000,000,000 ",電子–半導體,,,
上緯投控三,37083,一銀,3.87 ,2024/9/13,100,2024/9/27,1.62,2.20%,18.87 ,101.5,97.8,103.78 ,115,10.8 ,41.27,49.57,93.52,"1,000,000,000 ",化學工業,,,
上緯投控四,37084,6,6.05 ,2024/9/14,100.75,2024/9/28,1.62,4.00%,21.05 ,101.5,93.8,108.21 ,115,6.3 ,41.27,49.57,62.27,"1,000,000,000 ",化學工業,,,
